Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mag1_2,mag2,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC0578,_dbarn,3,5,BAR,ferrer2,,,,,,,0.04,19.854,,,11.181,11.592,10.321,21.841,Sc,5.0,54.32,21.8,6.0,0.88
NGC0600,_dbar,2,5,BAR,ferrer2,,,,,,,0.072,20.223,,,12.609,13.024,9.793,22.9,Scd,7.0,13.27,22.9,6.5,1.0
NGC0613,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.124,19.632,,,9.517,9.9,11.087,25.125,Sbc,4.0,35.71,25.1,3.0,1.0
NGC0685,_dbar,2,5,BAR,ferrer2,,,,,,,0.039,20.41,,,11.555,11.962,9.853,15.2,Sc,5.4,41.3,,6.5,1.0
NGC0701,_dbar,2,5,BAR,ferrer2,,,,,,,0.109,17.752,,,11.573,11.928,10.156,22.711,SBc,5.0,62.44,,7.0,1.0
NGC0718,_bdbar,3,5,BAR,ferrer2,,,,,,,0.121,20.215,,,11.326,11.789,10.283,21.4,Sa,1.0,28.2,21.4,1.0,0.5
NGC0864,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.042,20.599,,,11.159,11.553,10.184,18.767,SABc,5.1,47.58,18.8,4.0,0.62
NGC0936,_bdbar,3,5,BAR,ferrer2,,,,,,,0.108,19.832,,,9.679,10.161,10.926,20.683,S0-a,-1.2,50.51,20.7,-1.0,1.0
NGC0941,_dbarn,3,5,BAR,ferrer2,,,,,,,0.107,21.497,,,12.691,13.091,9.903,27.34,SABc,5.3,45.69,27.3,5.0,0.12
NGC0986,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.177,19.475,,,10.3,10.683,10.441,17.15,Sab,2.4,38.04,17.2,2.0,1.0
NGC0991,_ndbar,3,5,BAR,ferrer2,,,,,,,0.025,21.743,,,12.399,12.78,9.68,18.8,SABc,5.0,28.13,18.8,5.5,0.5
NGC1015,_bdbar,3,5,BAR,ferrer2,,,,,,,0.118,20.109,,,11.977,12.428,10.392,33.1,Sa,1.0,34.25,,0.0,1.0
NGC1022,_bdbar,3,5,BAR,ferrer2,,,,,,,0.075,20.277,,,10.987,11.306,10.186,18.5,SBa,1.1,59.89,18.5,-0.5,0.5
