Name_1,Mod,Nc,Q,C,Fn,f1,mag1_1,f2,mu02,f3,mag3,f4,mu04,f5,mag5,mstar,dmean,type,t_1,incl,Dist,__T_,__F_
NGC1879,_dbarn,3,5,BAR,ferrer2,,,,,,,0.115,22.868,,,9.461,21.05,SBm,8.6,52.37,21.1,9.0,0.5
NGC2500,_dbarn,3,5,BAR,ferrer2,,,,,,,0.018,21.756,,,9.42,10.1,Scd,7.0,20.61,10.1,6.5,0.5
NGC2608,_dbarfn,3,5,BAR,ferrer2,,,,,,,0.062,20.449,,,10.225,26.512,Sb,3.3,64.33,26.5,3.0,0.62
NGC2633,_bdbar,3,5,BAR,ferrer2,,,,,,,0.192,19.29,,,10.488,29.386,Sb,3.0,53.76,29.4,3.0,0.5
NGC2701,_dbar,2,5,BAR,ferrer2,,,,,,,0.047,17.529,,,10.445,40.831,SABc,5.2,49.23,40.8,3.5,0.25
NGC2750,_bdbar,3,5,BAR,ferrer2,,,,,,,0.055,20.742,,,10.526,38.4,SABc,5.3,45.38,38.4,3.5,0.25
NGC2780,_bdbarf,3,5,BAR,ferrer2,,,,,,,0.017,17.986,,,10.318,55.55,Sb,3.0,45.73,55.6,1.0,1.0
NGC2893,_bdbar,3,5,BAR,ferrer2,,,,,,,0.259,19.347,,,9.909,26.8,S0-a,0.3,39.11,26.8,-0.5,0.5
NGC2938,_dbar,2,5,BAR,ferrer2,,,,,,,0.067,21.475,,,9.828,46.0,Sc,5.8,47.96,46.0,7.5,1.0
NGC2968,_bdbar,3,5,BAR,ferrer2,,,,,,,0.175,20.358,,,10.104,13.89,Sa,1.2,52.67,13.9,-1.0,1.0
NGC3020,_dbar,2,5,BAR,ferrer2,,,,,,,0.095,20.537,,,9.821,28.45,Sc,5.9,58.42,28.5,8.5,1.0
NGC3023,_dbar,2,5,BAR,ferrer2,,,,,,,0.179,20.365,,,9.854,31.46,SABc,5.5,60.66,31.5,8.0,1.0
NGC3049,_dbarn,3,5,BAR,ferrer2,,,,,,,0.145,19.072,,,10.132,30.775,SBb,2.5,58.09,30.8,2.0,1.0
NGC3055,_dbarn,3,5,BAR,ferrer2,,,,,,,0.055,18.378,,,10.348,31.614,SABc,5.3,57.12,31.6,4.5,0.25
NGC3057,_dbarf,2,5,BAR,ferrer2,,,,,,,0.02,21.747,,,9.525,25.7,Sd,7.9,58.32,25.7,7.5,1.0
NGC3061,_bdbar,3,5,BAR,ferrer2,,,,,,,0.02,21.269,,,10.366,55.1,Sc,5.3,39.64,55.1,3.0,0.5
